Model,Provider,Intelligence,Latency,TPS
cognitivecomputations/dolphin-mistral-24b-venice-edition:free,openrouter,4,-,-
cohere/north-mini-code:free,openrouter,21,-,-
google/gemma-4-26b-a4b-it:free,openrouter,26,-,-
google/gemma-4-31b-it:free,openrouter,30,-,-
meta-llama/llama-3.2-3b-instruct:free,openrouter,5,-,-
meta-llama/llama-3.3-70b-instruct:free,openrouter,10,-,-
nousresearch/hermes-3-llama-3.1-405b:free,openrouter,9,-,-
nvidia/nemotron-3-nano-30b-a3b:free,openrouter,8,-,-
nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,openrouter,15,-,-
nvidia/nemotron-3-super-120b-a12b:free,openrouter,26,-,-
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,38,-,-
nvidia/nemotron-nano-12b-v2-vl:free,openrouter,9,-,-
nvidia/nemotron-nano-9b-v2:free,openrouter,9,-,-
openai/gpt-oss-20b:free,openrouter,15,-,-
poolside/laguna-m.1:free,openrouter,22,-,-
poolside/laguna-xs-2.1:free,openrouter,15,-,-
qwen/qwen3-coder:free,openrouter,22,-,-
qwen/qwen3-next-80b-a3b-instruct:free,openrouter,14,-,-
tencent/hy3:free,openrouter,34,-,-
